,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,average_rating,number_of_votes
0,tt0063540,Sunghursh,Sunghursh,2013,175.0,"Action,Crime,Drama",7.0,77
1,tt0066787,One Day Before the Rainy Season,Ashad Ka Ek Din,2019,114.0,"Biography,Drama",7.2,43
2,tt0069049,The Other Side of the Wind,The Other Side of the Wind,2018,122.0,Drama,6.9,4517
3,tt0069204,Sabse Bada Sukh,Sabse Bada Sukh,2018,91.0,"Comedy,Drama",6.1,13
4,tt0100275,The Wandering Soap Opera,La Telenovela Errante,2017,80.0,"Comedy,Drama,Fantasy",6.5,119
5,tt0112502,Bigfoot,Bigfoot,2017,91.0,"Horror,Thriller",4.1,32
6,tt0137204,Joe Finds Grace,Joe Finds Grace,2017,83.0,"Adventure,Animation,Comedy",8.1,263
7,tt0146592,Pál Adrienn,Pál Adrienn,2010,136.0,Drama,6.8,451
8,tt0154039,So Much for Justice!,Oda az igazság,2010,100.0,History,4.6,64
9,tt0159369,Cooper and Hemingway: The True Gen,Cooper and Hemingway: The True Gen,2013,180.0,Documentary,7.6,53
10,tt0162942,Children of the Green Dragon,A zöld sárkány gyermekei,2010,89.0,Drama,6.9,120
11,tt0170651,T.G.M. - osvoboditel,T.G.M. - osvoboditel,2018,60.0,Documentary,7.5,6
12,tt0176694,The Tragedy of Man,Az ember tragédiája,2011,160.0,"Animation,Drama,History",7.8,584
13,tt0192528,Heaven & Hell,Reverse Heaven,2018,104.0,Drama,4.0,72
14,tt0230212,The Final Journey,The Final Journey,2010,120.0,Drama,8.8,8
15,tt0247643,Los pájaros se van con la muerte,Los pájaros se van con la muerte,2011,110.0,"Drama,Mystery",4.0,12
16,tt0249516,Foodfight!,Foodfight!,2012,91.0,"Action,Animation,Comedy",1.9,8248
17,tt0250404,Godfather,Godfather,2012,91.0,"Crime,Drama",6.7,236
18,tt0253093,Gangavataran,Gangavataran,2018,134.0,unknown,6.6,8
19,tt0255820,Return to Babylon,Return to Babylon,2013,75.0,"Biography,Comedy,Drama",5.9,123
20,tt0262218,Akakis mogzauroba,Akakis mogzauroba,2012,44.0,Documentary,7.8,22
21,tt0263814,On kadin,On kadin,2019,91.0,Drama,7.1,100
22,tt0276568,To Chase a Million,To Chase a Million,2018,97.0,"Action,Drama",7.4,5
23,tt0277964,Prague: The Restless Heart of Europe,Praha - neklidné srdce Evropy,2018,59.0,"Documentary,History",7.0,31
24,tt0283440,Short Time Heroes,Kurzzeithelden,2015,45.0,Sci-Fi,6.6,16
25,tt0285252,Life's a Beach,Life's a Beach,2012,100.0,Comedy,3.9,219
26,tt0285423,Abolição,Abolição,2019,91.0,Documentary,7.4,35
27,tt0293069,Dark Blood,Dark Blood,2012,86.0,Thriller,6.6,1053
28,tt0297400,Snowblind,Snowblind,2015,91.0,"Crime,Drama",6.7,77
29,tt0306058,Second Coming,Second Coming,2012,95.0,unknown,5.5,20
30,tt0312305,Quantum Quest: A Cassini Space Odyssey,Quantum Quest: A Cassini Space Odyssey,2010,45.0,"Adventure,Animation,Sci-Fi",5.1,287
31,tt0315642,Wazir,Wazir,2016,103.0,"Action,Crime,Drama",7.1,15378
32,tt0323808,The Wicker Tree,The Wicker Tree,2011,96.0,"Drama,Horror",3.9,2328
33,tt0326592,The Overnight,The Overnight,2010,88.0,unknown,7.5,24
34,tt0326965,In My Sleep,In My Sleep,2010,104.0,"Drama,Mystery,Thriller",5.5,1889
35,tt0328810,My Land,Aamaar Bhuvan,2018,102.0,"Drama,Family",7.9,61
36,tt0329539,Rice Girl,Rice Girl,2014,95.0,"Adventure,Comedy,Romance",6.1,73
37,tt0330811,Regret Not Speaking,Regret Not Speaking,2011,91.0,unknown,6.2,10
38,tt0330987,"Tiden är en dröm, del 2","Tiden är en dröm, del 2",2014,109.0,unknown,6.3,6
39,tt0331312,This Wretched Life,This Wretched Life,2010,99.0,"Comedy,Drama",7.6,59
40,tt0331314,Bunyan and Babe,Bunyan and Babe,2017,84.0,"Adventure,Animation,Comedy",5.0,302
41,tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance",6.1,37886
42,tt0337882,Blind Sided,Blind Sided,2010,91.0,"Comedy,Crime,Drama",7.4,14
43,tt0337926,Chatô - The King of Brazil,Chatô: O Rei do Brasil,2015,102.0,Biography,6.0,558
44,tt0339736,The Evil Within,The Evil Within,2017,98.0,Horror,5.6,2420
45,tt0346045,Transeúntes,Transeúntes,2015,101.0,"Comedy,Drama",6.7,35
46,tt0357717,Haar Jeet,Haar Jeet,2018,91.0,Drama,5.1,9
47,tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",7.3,275300
48,tt0360556,Fahrenheit 451,Fahrenheit 451,2018,100.0,"Drama,Sci-Fi,Thriller",4.9,14469
49,tt0364201,Aman Ke Farishtey,Aman Ke Farishtey,2016,137.0,Action,6.4,16
50,tt0365545,Nappily Ever After,Nappily Ever After,2018,98.0,"Comedy,Drama,Romance",6.4,6287
51,tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",6.5,105116
52,tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338
53,tt0372538,Spy,Spy,2011,110.0,"Action,Crime,Drama",6.6,78
54,tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787
55,tt0376479,American Pastoral,American Pastoral,2016,108.0,"Crime,Drama",6.1,12898
56,tt0377981,Gnomeo & Juliet,Gnomeo & Juliet,2011,84.0,"Adventure,Animation,Comedy",6.0,49550
57,tt0381957,Cloud Cuckoo Land,Cloud Cuckoo Land,2012,92.0,Drama,7.6,23
58,tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",5.1,28570
59,tt0393049,Anderson's Cross,Anderson's Cross,2010,98.0,"Comedy,Drama,Romance",5.5,106
60,tt0396123,Den milde smerte,Den milde smerte,2010,280.0,Drama,7.8,6
61,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366
62,tt0400320,The Connecticut Kid,The Connecticut Kid,2011,87.0,Adventure,7.9,18
